Date,Price
2013-03-05 7:18:00,427.22
2013-03-05 7:19:00,427.76
2013-03-05 7:20:00,428.07
2013-03-05 7:21:00,428.81
2013-03-05 7:22:00,428.33
2013-03-05 7:23:00,428.17
2013-03-05 7:24:00,427.5
2013-03-05 7:25:00,427.1
2013-03-05 7:26:00,427.29
2013-03-05 7:27:00,427.42
2013-03-05 7:28:00,428.4
2013-03-05 7:29:00,428.18
2013-03-05 7:30:00,428.73
2013-03-05 7:31:00,428.97
2013-03-05 7:32:00,428.46
2013-03-05 7:33:00,428.39
2013-03-05 7:34:00,429.08
2013-03-05 7:35:00,429.6
2013-03-05 7:36:00,429.11
2013-03-05 7:37:00,429.15
2013-03-05 7:38:00,429.11
2013-03-05 7:39:00,429.58
2013-03-05 7:40:00,429.45
2013-03-05 7:41:00,428.8
2013-03-05 7:42:00,429.13
2013-03-05 7:43:00,428.69
2013-03-05 7:44:00,428.17
2013-03-05 7:45:00,428.29
2013-03-05 7:46:00,429.15
2013-03-05 7:47:00,429.1
2013-03-05 7:48:00,428.74
2013-03-05 7:49:00,429.02
2013-03-05 7:50:00,429.42
2013-03-05 7:51:00,429.8
2013-03-05 7:52:00,429.09
2013-03-05 7:53:00,428.95
2013-03-05 7:54:00,429.02
2013-03-05 7:55:00,428.94
2013-03-05 7:56:00,429.29
2013-03-05 7:57:00,428.99
2013-03-05 7:58:00,429.05
2013-03-05 7:59:00,429.3
2013-03-05 8:00:00,429.01
2013-03-05 8:01:00,429.19
2013-03-05 8:02:00,430.22
2013-03-05 8:03:00,430.08
2013-03-05 8:04:00,430.36
2013-03-05 8:05:00,430.36
2013-03-05 8:06:00,430.9
2013-03-05 8:07:00,431.13
2013-03-05 8:08:00,431.57
2013-03-05 8:09:00,432.32
2013-03-05 8:10:00,432.03
2013-03-05 8:11:00,431.91
2013-03-05 8:12:00,432.26
2013-03-05 8:13:00,432.0
2013-03-05 8:14:00,432.0
2013-03-05 8:15:00,432.22
2013-03-05 8:16:00,431.45
2013-03-05 8:17:00,431.59
2013-03-05 8:18:00,431.53
2013-03-05 8:19:00,431.18
2013-03-05 8:20:00,430.87
2013-03-05 8:21:00,431.08
2013-03-05 8:22:00,430.9
2013-03-05 8:23:00,431.08
2013-03-05 8:24:00,431.46
2013-03-05 8:25:00,431.33
2013-03-05 8:26:00,431.87
2013-03-05 8:27:00,431.67
2013-03-05 8:28:00,431.65
2013-03-05 8:29:00,431.63
2013-03-05 8:30:00,431.37
2013-03-05 8:31:00,431.31
2013-03-05 8:32:00,431.43
2013-03-05 8:33:00,431.89
2013-03-05 8:34:00,432.32
2013-03-05 8:35:00,432.17
2013-03-05 8:36:00,431.82
2013-03-05 8:37:00,431.93
2013-03-05 8:38:00,432.18
2013-03-05 8:39:00,432.05
2013-03-05 8:40:00,432.38
2013-03-05 8:41:00,432.05
2013-03-05 8:42:00,431.99
2013-03-05 8:43:00,431.78
2013-03-05 8:44:00,432.15
2013-03-05 8:45:00,432.32
2013-03-05 8:46:00,432.95
2013-03-05 8:47:00,432.63
2013-03-05 8:48:00,432.77
2013-03-05 8:49:00,433.01
2013-03-05 8:50:00,433.31
2013-03-05 8:51:00,433.88
2013-03-05 8:52:00,433.79
2013-03-05 8:53:00,433.67
2013-03-05 8:54:00,433.52
2013-03-05 8:55:00,433.81
2013-03-05 8:56:00,433.99
2013-03-05 8:57:00,434.09
2013-03-05 8:58:00,434.25
2013-03-05 8:59:00,434.05
2013-03-05 9:00:00,434.01
2013-03-05 9:01:00,433.86
2013-03-05 9:02:00,433.98
2013-03-05 9:03:00,434.21
2013-03-05 9:04:00,434.26
2013-03-05 9:05:00,434.12
2013-03-05 9:06:00,433.93
2013-03-05 9:07:00,433.9
2013-03-05 9:08:00,433.73
2013-03-05 9:09:00,433.64
2013-03-05 9:10:00,433.6
2013-03-05 9:11:00,433.76
2013-03-05 9:12:00,433.9
2013-03-05 9:13:00,434.08
2013-03-05 9:14:00,434.1
2013-03-05 9:15:00,433.97
2013-03-05 9:16:00,434.11
2013-03-05 9:17:00,433.98
2013-03-05 9:18:00,433.76
2013-03-05 9:19:00,433.89
2013-03-05 9:20:00,433.98
2013-03-05 9:21:00,434.32
2013-03-05 9:22:00,434.34
2013-03-05 9:23:00,434.68
2013-03-05 9:24:00,434.52
2013-03-05 9:25:00,434.01
2013-03-05 9:26:00,433.94
2013-03-05 9:27:00,434.0
2013-03-05 9:28:00,434.04
2013-03-05 9:29:00,434.04
2013-03-05 9:30:00,434.53
2013-03-05 9:31:00,434.74
2013-03-05 9:32:00,434.54
2013-03-05 9:33:00,434.11
2013-03-05 9:34:00,434.36
2013-03-05 9:35:00,434.49
2013-03-05 9:36:00,434.26
2013-03-05 9:37:00,434.36
2013-03-05 9:38:00,434.15
2013-03-05 9:39:00,434.43
2013-03-05 9:40:00,434.81
2013-03-05 9:41:00,434.73
2013-03-05 9:42:00,434.38
2013-03-05 9:43:00,434.27
2013-03-05 9:44:00,433.3
2013-03-05 9:45:00,433.08
2013-03-05 9:46:00,433.05
2013-03-05 9:47:00,433.34
2013-03-05 9:48:00,433.42
2013-03-05 9:49:00,432.76
2013-03-05 9:50:00,432.65
2013-03-05 9:51:00,433.05
2013-03-05 9:52:00,433.4
2013-03-05 9:53:00,433.49
2013-03-05 9:54:00,432.95
2013-03-05 9:55:00,433.1
2013-03-05 9:56:00,433.32
2013-03-05 9:57:00,433.08
2013-03-05 9:58:00,432.9
2013-03-05 9:59:00,433.05
2013-03-05 10:00:00,433.38
2013-03-05 10:01:00,433.2
2013-03-05 10:02:00,433.38
2013-03-05 10:03:00,433.24
2013-03-05 10:04:00,433.05
2013-03-05 10:05:00,433.05
2013-03-05 10:06:00,433.03
2013-03-05 10:07:00,432.94
2013-03-05 10:08:00,432.5
2013-03-05 10:09:00,432.86
2013-03-05 10:10:00,432.75
2013-03-05 10:11:00,432.74
2013-03-05 10:12:00,432.97
2013-03-05 10:13:00,432.73
2013-03-05 10:14:00,432.35
2013-03-05 10:15:00,432.56
2013-03-05 10:16:00,432.48
2013-03-05 10:17:00,432.65
2013-03-05 10:18:00,433.02
2013-03-05 10:19:00,433.0
2013-03-05 10:20:00,433.06
2013-03-05 10:21:00,432.96
2013-03-05 10:22:00,433.18
2013-03-05 10:23:00,433.54
2013-03-05 10:24:00,433.49
2013-03-05 10:25:00,433.21
2013-03-05 10:26:00,433.15
2013-03-05 10:27:00,433.44
2013-03-05 10:28:00,433.74
2013-03-05 10:29:00,433.36
2013-03-05 10:30:00,433.42
2013-03-05 10:31:00,433.48
2013-03-05 10:32:00,433.41
2013-03-05 10:33:00,433.28
2013-03-05 10:34:00,433.45
2013-03-05 10:35:00,433.4
2013-03-05 10:36:00,433.43
2013-03-05 10:37:00,433.31
2013-03-05 10:38:00,433.46
2013-03-05 10:39:00,433.69
2013-03-05 10:40:00,433.59
2013-03-05 10:41:00,433.64
2013-03-05 10:42:00,433.51
2013-03-05 10:43:00,433.69
2013-03-05 10:44:00,433.62
2013-03-05 10:45:00,433.43
2013-03-05 10:46:00,433.05
2013-03-05 10:47:00,433.15
2013-03-05 10:48:00,432.99
2013-03-05 10:49:00,432.65
2013-03-05 10:50:00,432.72
2013-03-05 10:51:00,432.9
2013-03-05 10:52:00,432.49
2013-03-05 10:53:00,432.01
2013-03-05 10:54:00,431.71
2013-03-05 10:55:00,431.58
2013-03-05 10:56:00,431.68
2013-03-05 10:57:00,431.69
2013-03-05 10:58:00,431.32
2013-03-05 10:59:00,431.12
2013-03-05 11:00:00,431.47
2013-03-05 11:01:00,431.48
2013-03-05 11:02:00,431.59
2013-03-05 11:03:00,431.63
2013-03-05 11:04:00,431.73
2013-03-05 11:05:00,431.73
2013-03-05 11:06:00,431.84
2013-03-05 11:07:00,431.92
2013-03-05 11:08:00,432.13
2013-03-05 11:09:00,431.95
2013-03-05 11:10:00,431.99
2013-03-05 11:11:00,432.03
2013-03-05 11:12:00,432.09
2013-03-05 11:13:00,432.18
2013-03-05 11:14:00,432.14
2013-03-05 11:15:00,432.02
2013-03-05 11:16:00,432.15
2013-03-05 11:17:00,432.2
2013-03-05 11:18:00,432.19
2013-03-05 11:19:00,432.2
2013-03-05 11:20:00,432.46
2013-03-05 11:21:00,432.37
2013-03-05 11:22:00,432.47
2013-03-05 11:23:00,432.49
2013-03-05 11:24:00,432.24
2013-03-05 11:25:00,431.91
2013-03-05 11:26:00,431.83
2013-03-05 11:27:00,432.02
2013-03-05 11:28:00,431.89
2013-03-05 11:29:00,431.92
2013-03-05 11:30:00,431.34
2013-03-05 11:31:00,431.15
2013-03-05 11:32:00,431.24
2013-03-05 11:33:00,431.28
2013-03-05 11:34:00,430.39
2013-03-05 11:35:00,430.05
2013-03-05 11:36:00,429.71
2013-03-05 11:37:00,429.82
2013-03-05 11:38:00,429.42
2013-03-05 11:39:00,428.81
2013-03-05 11:40:00,429.31
2013-03-05 11:41:00,429.16
2013-03-05 11:42:00,429.12
2013-03-05 11:43:00,429.23
2013-03-05 11:44:00,428.91
2013-03-05 11:45:00,428.56
2013-03-05 11:46:00,428.79
2013-03-05 11:47:00,429.17
2013-03-05 11:48:00,429.1
2013-03-05 11:49:00,429.32
2013-03-05 11:50:00,429.56
2013-03-05 11:51:00,429.12
2013-03-05 11:52:00,428.26
2013-03-05 11:53:00,427.65
2013-03-05 11:54:00,428.08
2013-03-05 11:55:00,428.18
2013-03-05 11:56:00,428.15
2013-03-05 11:57:00,428.34
2013-03-05 11:58:00,428.46
2013-03-05 11:59:00,427.95
2013-03-05 12:00:00,428.5
2013-03-05 12:01:00,428.39
2013-03-05 12:02:00,428.26
2013-03-05 12:03:00,427.82
2013-03-05 12:04:00,428.0
2013-03-05 12:05:00,428.76
2013-03-05 12:06:00,428.81
2013-03-05 12:07:00,428.88
2013-03-05 12:08:00,429.11
2013-03-05 12:09:00,429.02
2013-03-05 12:10:00,429.35
2013-03-05 12:11:00,429.57
2013-03-05 12:12:00,429.11
2013-03-05 12:13:00,429.66
2013-03-05 12:14:00,430.41
2013-03-05 12:15:00,430.75
2013-03-05 12:16:00,430.22
2013-03-05 12:17:00,429.9
2013-03-05 12:18:00,429.77
2013-03-05 12:19:00,429.86
2013-03-05 12:20:00,430.27
2013-03-05 12:21:00,430.2
2013-03-05 12:22:00,429.82
2013-03-05 12:23:00,429.68
2013-03-05 12:24:00,429.48
2013-03-05 12:25:00,429.0
2013-03-05 12:26:00,429.42
2013-03-05 12:27:00,429.42
2013-03-05 12:28:00,429.79
2013-03-05 12:29:00,429.71
2013-03-05 12:30:00,429.48
2013-03-05 12:31:00,429.3
2013-03-05 12:32:00,430.07
2013-03-05 12:33:00,429.7
2013-03-05 12:34:00,430.23
2013-03-05 12:35:00,431.03
2013-03-05 12:36:00,430.78
2013-03-05 12:37:00,431.05
2013-03-05 12:38:00,430.8
2013-03-05 12:39:00,431.38
2013-03-05 12:40:00,431.91
2013-03-05 12:41:00,431.93
2013-03-05 12:42:00,432.12
2013-03-05 12:43:00,432.28
2013-03-05 12:44:00,432.37
2013-03-05 12:45:00,431.99
2013-03-05 12:46:00,432.22
2013-03-05 12:47:00,432.4
2013-03-05 12:48:00,432.2
2013-03-05 12:49:00,432.03
2013-03-05 12:50:00,432.14
2013-03-05 12:51:00,431.54
2013-03-05 12:52:00,431.38
2013-03-05 12:53:00,430.8
2013-03-05 12:54:00,430.35
2013-03-05 12:55:00,430.58
2013-03-05 12:56:00,430.1
2013-03-05 12:57:00,430.75
2013-03-05 12:58:00,430.26
2013-03-05 12:59:00,430.11
2013-03-05 13:00:00,430.28
2013-03-05 13:01:00,431.14
2013-03-06 6:30:00,434.51
2013-03-06 6:31:00,434.64
2013-03-06 6:32:00,434.0
2013-03-06 6:33:00,434.35
2013-03-06 6:34:00,433.0
2013-03-06 6:35:00,433.94
2013-03-06 6:36:00,433.75
2013-03-06 6:37:00,432.53
2013-03-06 6:38:00,431.53
2013-03-06 6:39:00,431.22
2013-03-06 6:40:00,430.67
2013-03-06 6:41:00,430.81
2013-03-06 6:42:00,430.38
2013-03-06 6:43:00,429.96
2013-03-06 6:44:00,429.86
2013-03-06 6:45:00,430.28
2013-03-06 6:46:00,429.98
2013-03-06 6:47:00,429.28
2013-03-06 6:48:00,429.47
2013-03-06 6:49:00,428.58
2013-03-06 6:50:00,428.16
2013-03-06 6:51:00,428.37
2013-03-06 6:52:00,429.0
2013-03-06 6:53:00,428.92
2013-03-06 6:54:00,429.29
2013-03-06 6:55:00,429.26
2013-03-06 6:56:00,428.7
2013-03-06 6:57:00,427.81
2013-03-06 6:58:00,427.56
2013-03-06 6:59:00,427.62
2013-03-06 7:00:00,426.79
2013-03-06 7:01:00,426.99
2013-03-06 7:02:00,427.01
2013-03-06 7:03:00,426.78
2013-03-06 7:04:00,426.81
2013-03-06 7:05:00,426.86
2013-03-06 7:06:00,426.4
2013-03-06 7:07:00,425.86
2013-03-06 7:08:00,427.32
